product_id,category,sub_category,main_title,colors
http://eu.puma.com/it/en/pd/afc-mens-replica-shorts/749718.html,"[""Shorts"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","[""Shorts"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Men's Replica Shorts
","[""white"",""ebony-spectra yellow"",""peacoat-safety yellow""]"
http://eu.puma.com/it/en/pd/afc-mens-striped-socks/749704.html,"[""Arsenal"",""Socks"",""Accessories"",""Featured"",""New Arrivals"",""Mens"",""Sports""]","[""Arsenal"",""Socks"",""Accessories"",""Featured"",""New Arrivals"",""Mens"",""Sports""]","
AFC Men's Striped Socks
","[""white-high risk red-Home 2"",""high risk red-white-Home 1""]"
http://eu.puma.com/it/en/pd/afc-mens-training-jersey/749753.html,"[""Jerseys"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","[""Jerseys"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Men's Training Jersey
","[""ebony-spectra yellow"",""high risk red-steel gray""]"
http://eu.puma.com/it/en/pd/afc-mini-fan-ball/082669.html,"[""Balls"",""Football"",""Arsenal"",""Mens"",""Featured"",""Womens"",""Sports"",""Accessories""]","[""Balls"",""Football"",""Arsenal"",""Mens"",""Featured"",""Womens"",""Sports"",""Accessories""]","
AFC Mini Fan Ball
","[""High Risk Red-Puma White-Peacoat""]"
http://eu.puma.com/it/en/pd/afc-mini-fan-ball/082743.html,"[""Balls"",""Accessories"",""Sports"",""Featured"",""Arsenal"",""New Arrivals"",""Mens""]","[""Balls"",""Accessories"",""Sports"",""Featured"",""Arsenal"",""New Arrivals"",""Mens""]","
AFC Mini Fan Ball
","[""High Risk Red-Peacoat""]"
http://eu.puma.com/it/en/pd/afc-performance-beanie/021073.html,"[""Arsenal"",""Hats"",""Football"",""Accessories"",""Mens"",""Featured"",""Womens"",""Sports""]","[""Arsenal"",""Hats"",""Football"",""Accessories"",""Mens"",""Featured"",""Womens"",""Sports""]","
AFC Performance Beanie
","[""High Risk Red""]"
http://eu.puma.com/it/en/pd/afc-performance-cap/021071.html,"[""Arsenal"",""Hats"",""Accessories"",""Mens"",""Featured"",""Sports""]","[""Arsenal"",""Hats"",""Accessories"",""Mens"",""Featured"",""Sports""]","
AFC Performance Cap
","[""High Risk Red""]"
http://eu.puma.com/it/en/pd/afc-premier-league-stadium-jacket/749738.html,"[""Arsenal"",""Mens"",""Featured"",""Track Jackets"",""Sports"",""Clothing""]","[""Arsenal"",""Mens"",""Featured"",""Track Jackets"",""Sports"",""Clothing""]","
AFC Premier League Stadium Jacket
","[""ebony-spectra yellow"",""peacoat-high risk red""]"
http://eu.puma.com/it/en/pd/afc-premier-league-stadium-jersey/749757.html,"[""Clothing"",""Arsenal"",""Mens"",""Featured"",""Sports"",""Jerseys""]","[""Clothing"",""Arsenal"",""Mens"",""Featured"",""Sports"",""Jerseys""]","
AFC Premier League Stadium Jersey
","[""high risk red-peacoat"",""steel gray-spectra yellow""]"
http://eu.puma.com/it/en/pd/afc-stadium-jacket/750736.html,"[""Arsenal"",""Sports"",""Featured"",""Jackets"",""New Arrivals"",""Mens"",""Clothing""]","[""Arsenal"",""Sports"",""Featured"",""Jackets"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Stadium Jacket
","[""Peacoat-High Risk Red""]"
http://eu.puma.com/it/en/pd/afc-stadium-jersey/750734.html,"[""Jerseys"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","[""Jerseys"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Stadium Jersey
","[""high risk red""]"
http://eu.puma.com/it/en/pd/afc-stretchfit-cap/021072.html,"[""Arsenal"",""Hats"",""Football"",""Accessories"",""Mens"",""Featured"",""Womens"",""Sports""]","[""Arsenal"",""Hats"",""Football"",""Accessories"",""Mens"",""Featured"",""Womens"",""Sports""]","
AFC Stretchfit Cap
","[""High Risk Red""]"
http://eu.puma.com/it/en/pd/afc-stretchfit-cap/021213.html,"[""Hats"",""Arsenal"",""Mens"",""Featured"",""New Arrivals"",""Sports"",""Accessories""]","[""Hats"",""Arsenal"",""Mens"",""Featured"",""New Arrivals"",""Sports"",""Accessories""]","
AFC Stretchfit Cap
","[""High Risk Red-Peacoat""]"
http://eu.puma.com/it/en/pd/afc-tapered-training-pants/751966.html,"[""Arsenal"",""Mens"",""Featured"",""New Arrivals"",""Sports"",""Clothing"",""Pants""]","[""Arsenal"",""Mens"",""Featured"",""New Arrivals"",""Sports"",""Clothing"",""Pants""]","
AFC Tapered Training Pants
","[""Peacoat-High Risk Red""]"
http://eu.puma.com/it/en/pd/afc-third-mens-jersey/749683.html,"[""New Arrivals"",""Featured"",""Sports"",""Mens""]","[""New Arrivals"",""Featured"",""Sports"",""Mens""]","
AFC Third Men's Jersey
","[""peacoat-safety yellow""]"
http://eu.puma.com/it/en/pd/afc-third-mens-replica-jersey/749716.html,"[""Clothing"",""Arsenal"",""Mens"",""Best Sellers"",""New Arrivals"",""Sports"",""Jerseys"",""Featured""]","[""Clothing"",""Arsenal"",""Mens"",""Best Sellers"",""New Arrivals"",""Sports"",""Jerseys"",""Featured""]","
AFC Third Men's Replica Jersey
","[""peacoat-safety yellow""]"
http://eu.puma.com/it/en/pd/afc-training-shorts/749751.html,"[""Shorts"",""Arsenal"",""Sports"",""Featured"",""Mens"",""Clothing""]","[""Shorts"",""Arsenal"",""Sports"",""Featured"",""Mens"",""Clothing""]","
AFC Training Shorts
","[""steel gray-ebony"",""peacoat-safety yellow""]"
http://eu.puma.com/it/en/pd/afc-training-top/749745.html,"[""T-Shirts \u0026 Tops"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","[""T-Shirts \u0026 Tops"",""Arsenal"",""Sports"",""Featured"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Training Top
","[""peacoat-safety yellow""]"
http://eu.puma.com/it/en/pd/afc-training-top/749746.html,"[""Arsenal"",""Sports"",""Featured"",""Track Jackets"",""New Arrivals"",""Mens"",""Clothing""]","[""Arsenal"",""Sports"",""Featured"",""Track Jackets"",""New Arrivals"",""Mens"",""Clothing""]","
AFC Training Top
","[""ebony-spectra yellow"",""high risk red-steel gray""]"
